state,state_name,geo_id,population,agegroup,pct_pop
IA,Iowa,19,79091,Age 85 years and older,0.0250593683116587
KS,Kansas,20,189335,Age 0 to 4 years,0.065029941559434
KS,Kansas,20,197621,Age 5 to 9 years,0.0678758923649453
KS,Kansas,20,200446,Age 10 to 14 years,0.0688461809270463
KS,Kansas,20,200274,Age 15 to 19 years,0.0687871049508759
KS,Kansas,20,213020,Age 20 to 24 years,0.0731649095570847
KS,Kansas,20,195035,Age 25 to 29 years,0.0669876919325229
KS,Kansas,20,187849,Age 30 to 34 years,0.06451955260252
KS,Kansas,20,189972,Age 35 to 39 years,0.0652487287502512
KS,Kansas,20,166350,Age 40 to 44 years,0.0571353990461978
KS,Kansas,20,166989,Age 45 to 49 years,0.0573548731669703
KS,Kansas,20,168948,Age 50 to 54 years,0.058027721058353
KS,Kansas,20,191689,Age 55 to 59 years,0.065838458117022
KS,Kansas,20,181736,Age 60 to 64 years,0.0624199511936267
KS,Kansas,20,150262,Age 65 to 69 years,0.051609734484399
KS,Kansas,20,112595,Age 70 to 74 years,0.0386724391680591
KS,Kansas,20,78411,Age 75 to 79 years,0.0269314323691699
KS,Kansas,20,55437,Age 80 to 84 years,0.0190406679706887
KS,Kansas,20,65536,Age 85 years and older,0.0225093207808333
KY,Kentucky,21,275412,Age 0 to 4 years,0.0616354571500057
KY,Kentucky,21,276726,Age 5 to 9 years,0.0619295220080915
KY,Kentucky,21,285788,Age 10 to 14 years,0.0639575400780861
KY,Kentucky,21,287105,Age 15 to 19 years,0.0642522763171264
KY,Kentucky,21,301530,Age 20 to 24 years,0.0674804997401756
KY,Kentucky,21,310326,Age 25 to 29 years,0.0694489886988682
KY,Kentucky,21,274781,Age 30 to 34 years,0.0614942433559022
KY,Kentucky,21,283045,Age 35 to 39 years,0.0633436740919908
KY,Kentucky,21,268904,Age 40 to 44 years,0.0601790080659708
KY,Kentucky,21,285632,Age 45 to 49 years,0.0639226282684503
KY,Kentucky,21,291182,Age 50 to 54 years,0.0651646830343376
KY,Kentucky,21,307881,Age 55 to 59 years,0.0689018132209233
KY,Kentucky,21,289464,Age 60 to 64 years,0.0647802055410413
KY,Kentucky,21,245059,Age 65 to 69 years,0.054842648445686
KY,Kentucky,21,190146,Age 70 to 74 years,0.0425534676602508
KY,Kentucky,21,130899,Age 75 to 79 years,0.0292943651891661
KY,Kentucky,21,83904,Age 80 to 84 years,0.0187771825363967
KY,Kentucky,21,80618,Age 85 years and older,0.0180417965975308
LA,Louisiana,22,307019,Age 0 to 4 years,0.0658842166207652
LA,Louisiana,22,301567,Age 5 to 9 years,0.0647142540157915
LA,Louisiana,22,307358,Age 10 to 14 years,0.0659569637453224
