state_name,year,week,weighted_ili,unweighted_ili,age_0_4,age_25_49,age_25_64,age_5_24,age_50_64,age_65,ilitotal,num_of_providers,total_patients,week_start,week_yr,state
Michigan,2019,43,NA,0.838431,NA,NA,NA,NA,NA,NA,233,78,27790,2019-10-20,2019-43,MI
Minnesota,2019,43,NA,2.39513,NA,NA,NA,NA,NA,NA,181,21,7557,2019-10-20,2019-43,MN
Mississippi,2019,43,NA,2.96099,NA,NA,NA,NA,NA,NA,545,47,18406,2019-10-20,2019-43,MS
Missouri,2019,43,NA,0.718034,NA,NA,NA,NA,NA,NA,26,15,3621,2019-10-20,2019-43,MO
Montana,2019,43,NA,0.760525,NA,NA,NA,NA,NA,NA,84,41,11045,2019-10-20,2019-43,MT
Nebraska,2019,43,NA,2.12993,NA,NA,NA,NA,NA,NA,259,66,12160,2019-10-20,2019-43,NE
Nevada,2019,43,NA,1.23402,NA,NA,NA,NA,NA,NA,138,32,11183,2019-10-20,2019-43,NV
New Hampshire,2019,43,NA,0.655594,NA,NA,NA,NA,NA,NA,15,13,2288,2019-10-20,2019-43,NH
New Jersey,2019,43,NA,2.32372,NA,NA,NA,NA,NA,NA,756,41,32534,2019-10-20,2019-43,NJ
New Mexico,2019,43,NA,1.60244,NA,NA,NA,NA,NA,NA,383,51,23901,2019-10-20,2019-43,NM
New York,2019,43,NA,1.03963,NA,NA,NA,NA,NA,NA,626,138,60214,2019-10-20,2019-43,NY
North Carolina,2019,43,NA,1.27839,NA,NA,NA,NA,NA,NA,1395,167,109122,2019-10-20,2019-43,NC
North Dakota,2019,43,NA,1.11292,NA,NA,NA,NA,NA,NA,41,15,3684,2019-10-20,2019-43,ND
Ohio,2019,43,NA,0.969159,NA,NA,NA,NA,NA,NA,192,51,19811,2019-10-20,2019-43,OH
Oklahoma,2019,43,NA,1.96691,NA,NA,NA,NA,NA,NA,189,30,9609,2019-10-20,2019-43,OK
Oregon,2019,43,NA,1.22155,NA,NA,NA,NA,NA,NA,527,97,43142,2019-10-20,2019-43,OR
Pennsylvania,2019,43,NA,1.37937,NA,NA,NA,NA,NA,NA,747,130,54155,2019-10-20,2019-43,PA
Rhode Island,2019,43,NA,0.307929,NA,NA,NA,NA,NA,NA,20,23,6495,2019-10-20,2019-43,RI
South Carolina,2019,43,NA,2.54701,NA,NA,NA,NA,NA,NA,256,26,10051,2019-10-20,2019-43,SC
South Dakota,2019,43,NA,0.724848,NA,NA,NA,NA,NA,NA,125,31,17245,2019-10-20,2019-43,SD
Tennessee,2019,43,NA,1.87105,NA,NA,NA,NA,NA,NA,785,88,41955,2019-10-20,2019-43,TN
Texas,2019,43,NA,3.23872,NA,NA,NA,NA,NA,NA,987,117,30475,2019-10-20,2019-43,TX
Utah,2019,43,NA,1.90343,NA,NA,NA,NA,NA,NA,408,53,21435,2019-10-20,2019-43,UT
Vermont,2019,43,NA,0.871755,NA,NA,NA,NA,NA,NA,45,17,5162,2019-10-20,2019-43,VT
Virginia,2019,43,NA,2.08905,NA,NA,NA,NA,NA,NA,2123,162,101625,2019-10-20,2019-43,VA
Washington,2019,43,NA,1.03806,NA,NA,NA,NA,NA,NA,222,58,21386,2019-10-20,2019-43,WA
West Virginia,2019,43,NA,1.24357,NA,NA,NA,NA,NA,NA,215,54,17289,2019-10-20,2019-43,WV
Wisconsin,2019,43,NA,1.13669,NA,NA,NA,NA,NA,NA,276,46,24281,2019-10-20,2019-43,WI
Wyoming,2019,43,NA,1.00751,NA,NA,NA,NA,NA,NA,51,21,5062,2019-10-20,2019-43,WY
Commonwealth of the Northern Mariana Islands,2019,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-10-20,2019-43,NA
Puerto Rico,2019,43,NA,5.0616,NA,NA,NA,NA,NA,NA,189,9,3734,2019-10-20,2019-43,PR
Virgin Islands,2019,43,NA,0.338409,NA,NA,NA,NA,NA,NA,2,2,591,2019-10-20,2019-43,VI
New York City,2019,43,NA,1.81585,NA,NA,NA,NA,NA,NA,1798,74,99017,2019-10-20,2019-43,NA
Alabama,2019,44,NA,2.64992,NA,NA,NA,NA,NA,NA,1209,97,45624,2019-10-27,2019-44,AL
